Day,COUNTERS_CREATED_AGENTS_WITH_RATE,COUNTERS_KILLED_AGENTS_WITH_RATE,AGENTS_IN_QUARANTINE,SWABS,NUM_INFECTED_OUTSIDE
0,0,0,0
1,0,0,0,0,0
2,24,0,0,0,0
3,28,0,0,0,0
4,54,0,0,0,0
5,62,0,0,0,0
6,77,0,0,0,1
7,78,0,0,0,1
8,91,0,0,0,1
9,130,0,0,0,1
10,173,0,0,0,1
11,182,0,0,0,2
12,183,0,0,0,2
13,204,0,0,0,2
14,213,0,0,0,3
15,214,0,0,0,3
16,230,0,0,0,3
17,262,0,0,0,3
18,304,1,0,0,3
19,305,1,0,0,3
20,332,3,0,0,3
21,334,4,0,0,4
22,347,16,0,0,4
23,370,27,0,0,4
24,372,40,0,0,4
25,373,48,0,0,5
26,389,60,0,0,6
27,399,79,0,0,6
28,410,92,0,0,6
29,428,107,0,0,7
30,474,123,0,0,9
31,485,143,0,0,11
32,506,163,0,0,11
33,507,182,0,0,11
34,512,202,0,0,12
35,567,212,0,0,12
36,576,222,0,0,12
37,578,240,0,0,12
38,662,256,0,0,13
39,673,280,0,0,13
40,680,301,0,0,13
41,706,318,0,0,13
42,707,330,0,0,13
43,731,346,0,0,13
44,732,360,0,0,14
45,738,371,0,0,14
46,777,382,0,0,15
47,785,392,0,0,15
48,822,408,0,0,16
49,848,422,0,0,16
50,871,443,0,0,16
51,874,460,0,0,16
52,885,484,0,0,16
53,903,504,0,0,16
54,911,523,0,0,16
55,913,533,0,0,16
56,922,553,0,0,16
57,941,577,0,0,17
58,1002,600,0,0,17
59,1004,638,0,0,17
60,1005,638,0,0,17
