Day,Susceptible,Exposed,Infected,Recovered,Died
0,24,0,0,0,0
1,24,0,0,0,0
2,26,0,0,0,0
3,37,0,0,0,0
4,55,0,0,0,0
5,109,0,0,0,0
6,167,1,0,0,0
7,171,0,1,0,0
8,182,0,0,1,0
9,192,0,0,1,0
10,197,0,0,1,0
11,200,1,0,1,0
12,208,1,0,1,0
13,237,2,0,1,0
14,238,2,0,1,0
15,259,2,0,1,0
16,302,1,0,2,0
17,303,0,1,2,0
18,357,0,1,2,0
19,358,1,0,3,0
20,369,2,0,3,0
21,388,2,0,3,0
22,390,2,1,3,0
23,415,2,0,4,0
24,450,2,0,4,0
25,456,3,0,3,0
26,442,3,1,2,0
27,420,3,1,1,0
28,428,3,1,1,0
29,432,4,0,2,0
30,420,3,0,2,0
31,411,3,0,2,0
32,423,3,0,1,0
33,415,3,0,1,0
34,405,3,1,1,0
35,413,2,2,1,0
36,398,3,2,1,0
37,385,2,2,1,0
38,387,2,2,0,0
39,382,2,1,1,0
40,382,1,1,1,0
41,389,0,1,1,0
42,394,1,1,1,0
43,424,3,1,1,0
44,454,2,1,1,0
45,439,2,1,0,0
46,431,1,1,0,0
47,498,1,2,0,0
48,492,0,3,0,0
49,503,0,1,2,0
50,495,0,1,2,0
51,514,3,0,3,0
52,512,3,0,2,0
53,502,3,0,2,0
54,504,3,0,2,0
55,495,3,0,2,0
56,485,2,2,2,0
57,500,2,2,2,0
58,504,1,3,2,0
59,520,2,3,2,0
60,596,2,3,2,0
