day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456864	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	42	0	0	0	0	[]	0	0
1	123456864	247	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	86	42	0	0	0	1	[]	0	1
2	123456864	243	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	86	42	0	0	0	1	[]	0	1
3	123456864	237	8	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11	0	0	1	0	86	42	0	0	0	2	[]	0	1
4	123456864	232	10	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	14	0	0	1	0	86	42	0	0	0	3	[]	0	1
5	123456864	224	14	7	1	0	0	0	0	0	0	2	0	0	0	0	0	0	18	0	0	2	0	86	42	0	0	0	3	[]	0	2
6	123456864	224	11	8	2	0	0	0	0	0	0	2	1	0	0	0	0	0	24	0	0	3	0	86	42	0	0	0	3	[]	0	3
7	123456864	223	8	12	2	0	0	0	0	0	0	2	1	0	0	0	0	0	28	0	0	3	0	86	42	0	0	0	4	[]	0	3
8	123456864	213	15	14	3	0	0	0	0	0	0	2	1	0	0	0	0	0	28	0	0	3	0	86	42	0	0	0	4	[]	0	3
9	123456864	200	18	20	6	0	0	0	0	0	0	2	1	0	0	1	0	0	28	1	0	3	1	86	42	0	0	0	4	[]	0	4
10	123456864	185	26	25	6	0	0	0	0	0	0	2	1	0	0	3	0	0	33	3	0	3	3	86	42	0	0	0	5	[]	0	6
11	123456864	164	37	28	13	0	0	0	0	0	0	1	2	0	0	2	1	0	33	3	0	3	3	86	42	0	0	0	5	[]	0	7
12	123456864	151	39	30	20	0	0	0	0	0	0	1	2	0	0	3	2	0	37	5	0	3	5	86	42	0	0	0	5	[]	0	7
13	123456864	150	29	39	22	0	0	0	0	0	0	2	1	0	0	3	2	0	38	5	0	4	5	86	42	0	0	0	6	[]	0	7
14	123456864	149	21	41	28	0	0	0	0	0	0	2	1	0	0	4	2	0	38	6	0	4	6	86	42	0	0	0	7	[]	0	7
15	123456864	120	35	48	37	0	0	0	0	0	0	1	1	0	0	3	3	0	43	6	0	4	6	86	42	0	0	0	7	[]	0	9
16	123456864	101	42	48	46	0	0	0	0	0	0	1	0	0	0	7	3	0	46	10	0	4	10	86	42	0	0	0	7	[]	0	10
17	123456864	85	43	54	52	0	0	0	0	0	0	1	0	0	0	10	3	0	47	13	0	4	13	86	42	0	0	0	7	[]	0	10
18	123456864	73	47	52	62	0	0	0	0	0	0	1	0	0	0	6	7	0	52	13	0	4	13	86	42	0	0	0	7	[]	0	11
19	123456864	61	47	52	71	0	0	0	0	0	0	3	0	0	0	8	6	0	56	15	0	6	15	86	42	0	0	0	7	[]	0	11
20	123456864	61	35	55	81	0	0	0	0	0	0	2	1	0	0	6	7	0	58	16	0	6	16	86	42	0	0	0	7	[]	0	12
21	123456864	61	23	58	90	0	0	0	0	0	0	1	2	0	0	6	7	0	59	16	0	6	16	86	42	0	0	0	7	[]	0	12
22	123456864	47	28	56	99	0	0	0	0	0	0	3	2	0	0	7	6	0	63	18	0	8	18	86	42	0	0	0	7	[]	0	12
23	123456864	42	21	54	112	0	0	0	0	0	0	2	2	0	0	8	7	0	65	20	0	8	20	86	42	0	0	0	7	[]	0	12
24	123456864	37	16	57	118	0	0	0	0	0	0	4	2	0	0	4	10	0	71	20	0	10	20	86	42	0	0	0	7	[]	0	12
25	123456864	30	20	53	125	0	0	0	0	0	0	3	3	0	0	4	10	0	72	20	0	10	20	86	42	0	0	0	7	[]	0	12
26	123456864	23	19	55	135	0	0	0	0	0	0	3	3	0	0	3	7	0	75	20	0	10	20	86	42	0	0	0	7	[]	0	12
27	123456864	23	13	48	149	0	0	0	0	0	0	4	3	0	0	3	5	0	77	21	0	11	21	86	42	0	0	0	7	[]	0	12
28	123456864	23	11	38	158	0	0	0	0	0	0	5	3	0	0	5	5	0	81	23	0	12	23	86	42	0	0	0	7	[]	0	12
29	123456864	13	17	33	169	0	0	0	0	0	0	5	1	0	0	7	3	0	82	25	0	12	25	86	42	0	0	0	7	[]	0	10
30	123456864	12	12	35	171	0	0	0	0	0	0	6	2	0	0	8	2	0	86	26	0	14	26	86	42	0	0	0	7	[]	0	10
31	123456864	7	15	34	172	0	0	0	0	0	0	8	2	0	0	7	3	0	89	26	0	16	26	86	42	0	0	0	7	[]	0	10
32	123456864	4	17	32	179	0	0	0	0	0	0	6	2	0	0	6	2	0	90	26	0	16	26	86	42	0	0	0	7	[]	0	10
33	123456864	3	12	26	192	0	0	0	0	0	0	7	2	0	0	6	0	0	92	26	0	17	26	86	42	0	0	0	7	[]	0	9
34	123456864	3	9	24	198	0	0	0	0	0	0	6	1	0	0	7	0	0	97	27	0	17	27	86	42	0	0	0	7	[]	0	10
35	123456864	3	9	21	201	0	0	0	0	0	0	4	3	0	0	6	1	0	101	27	0	17	27	86	42	0	0	0	7	[]	0	9
36	123456864	3	6	19	204	0	0	0	0	0	0	5	3	0	0	7	1	0	104	28	0	18	28	86	42	0	0	0	7	[]	0	9
37	123456864	2	6	19	207	0	0	0	0	0	0	4	3	0	0	5	2	0	108	28	0	18	28	86	42	0	0	0	7	[]	0	9
38	123456864	2	5	18	211	0	0	0	0	0	0	4	3	0	0	2	3	0	109	28	0	19	28	86	42	0	0	0	7	[]	0	7
39	123456864	2	5	13	218	0	0	0	0	0	0	4	3	0	0	2	1	0	112	28	0	19	28	86	42	0	0	0	7	[]	0	6
40	123456864	2	3	11	224	0	0	0	0	0	0	4	1	0	0	2	1	0	117	29	0	19	29	86	42	0	0	0	7	[]	0	6
41	123456864	2	3	8	228	0	0	0	0	0	0	3	0	0	0	3	1	0	119	30	0	19	30	86	42	0	0	0	7	[]	0	5
42	123456864	2	3	6	230	0	0	0	0	0	0	2	1	0	0	3	1	0	122	30	0	19	30	86	42	0	0	0	7	[]	0	5
43	123456864	2	3	5	231	0	0	0	0	0	0	2	1	0	0	3	1	0	126	30	0	20	30	86	42	0	0	0	7	[]	0	5
44	123456864	2	1	4	235	0	0	0	0	0	0	2	1	0	0	3	0	0	127	30	0	20	30	86	42	0	0	0	7	[]	0	5
45	123456864	2	0	4	236	0	0	0	0	0	0	2	1	0	0	3	0	0	129	30	0	20	30	86	42	0	0	0	7	[]	0	5
46	123456864	2	0	2	240	0	0	0	0	0	0	2	0	0	0	2	0	0	133	30	0	20	30	86	42	0	0	0	7	[]	0	4
47	123456864	2	0	1	241	0	0	0	0	0	0	2	0	0	0	1	1	0	135	30	0	20	30	86	42	0	0	0	7	[]	0	4
48	123456864	2	0	2	241	0	0	0	0	0	0	1	0	0	0	1	1	0	136	30	0	20	30	86	42	0	0	0	7	[]	0	4
49	123456864	2	0	1	242	0	0	0	0	0	0	1	0	0	0	1	1	0	136	30	0	20	30	86	42	0	0	0	7	[]	0	3
50	123456864	2	0	1	243	0	0	0	0	0	0	1	0	0	0	1	0	0	137	30	0	20	30	86	42	0	0	0	7	[]	0	3
51	123456864	2	0	1	243	0	0	0	0	0	0	1	0	0	0	1	0	0	143	31	0	20	31	86	42	0	0	0	7	[]	0	3
52	123456864	2	0	1	243	0	0	0	0	0	0	0	1	0	0	0	1	0	144	31	0	20	31	86	42	0	0	0	7	[]	0	1
53	123456864	2	0	1	244	0	0	0	0	0	0	0	0	0	0	0	1	0	146	31	0	20	31	86	42	0	0	0	7	[]	0	1
54	123456864	2	0	1	244	0	0	0	0	0	0	0	0	0	0	0	1	0	146	31	0	20	31	86	42	0	0	0	7	[]	0	1
55	123456864	2	0	1	244	0	0	0	0	0	0	0	0	0	0	0	1	0	147	31	0	20	31	86	42	0	0	0	7	[]	0	1
56	123456864	2	0	1	244	0	0	0	0	0	0	0	0	0	0	0	1	0	147	31	0	20	31	86	42	0	0	0	7	[]	0	1
57	123456864	2	0	0	244	0	0	0	0	0	0	0	0	0	0	1	1	0	148	32	0	20	32	86	42	0	0	0	7	[]	0	1
58	123456864	2	0	0	244	0	0	0	0	0	0	0	0	0	0	1	1	0	149	32	0	20	32	86	42	0	0	0	7	[]	0	1
59	123456864	2	0	0	244	0	0	0	0	0	0	0	0	0	0	1	1	0	149	32	0	20	32	86	42	0	0	0	7	[]	0	1
60	123456864	2	0	0	244	0	0	0	0	0	0	0	0	0	0	1	1	0	149	32	0	20	32	86	42	0	0	0	7	[]	0	1
